Dataset,Max_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Min_Gini_Index
Phoneme,0.8748473102015645,0.4495805325478279,0.44992688984091866,0.008397737665599814
PigAirwayPressure,0.7542960987323237,0.3427386756510319,0.36673751868315946,0.005866258059077145
PigArtPressure,0.7344643207152903,0.4608794000512659,0.46731164355968174,0.10567863794475985
PigCVP,0.7504902404560467,0.3897746071048229,0.39458200883939254,0.05795974088489819
Plane,0.5204989396611897,0.3460864766130986,0.3522329888998503,0.03373452602877225
PowerCons,0.7959409217489928,0.440339035073724,0.44667057907018903,0.052460966217569016
ProximalPhalanxOutlineAgeGroup,0.6044805298187028,0.3659682769221148,0.37733344454685513,0.039702610116145176
ProximalPhalanxOutlineCorrect,0.619265403744663,0.36815057165278786,0.3770934781402639,0.0333976549376549
ProximalPhalanxTW,0.6233020758806447,0.365794088244589,0.37652248084390033,0.04725459164835022
RefrigerationDevices,0.9231668831701054,0.4305079439221876,0.4202297789074444,0.06536018482979278
Rock,0.7693357664136959,0.4886586656116971,0.5397622170310762,0.02516096380460342
ScreenType,0.9877531404353019,0.41839266610929177,0.41463474542764267,0.018667842633503517
SemgHandGenderCh2,0.7056314382045532,0.4975714051071045,0.4884077343598994,0.4127210240483372
SemgHandMovementCh2,0.7063261460954111,0.49482625578643236,0.48564816735152105,0.40448663959634357
SemgHandSubjectCh2,0.698939374055831,0.4942359498063316,0.48481438119974396,0.3682065738107121
ShapeletSim,0.46232253651863564,0.4044266312382971,0.40418509322029667,0.3484627251505791
ShapesAll,0.7017664408379124,0.2872242506670911,0.3253789516820909,0.00610579143961143
SmallKitchenAppliances,0.9887643942029974,0.49626943384907557,0.47031324618736736,0.02960145808119663
SmoothSubspace,0.6432101711021807,0.3607331078022473,0.3637593106187749,0.05228767261008416
SonyAIBORobotSurface1,0.5846372220726909,0.4440097866493652,0.4505901682981539,0.16580195274811327
SonyAIBORobotSurface2,0.6481929406813838,0.4882061222358196,0.4894928091675819,0.26569052406261884
StarLightCurves,0.7897066868100449,0.2019563019331067,0.1495487161505482,0.0002583583900171993
Strawberry,0.7331260261839643,0.35951857573596047,0.37181204397509204,0.011284418938619423
SwedishLeaf,0.6820266428719212,0.357661520311155,0.37110521028702337,0.023443987036556813
Symbols,0.785261473654085,0.21554949858482003,0.19267860063397496,0.0022357843693353585
SyntheticControl,0.6345499343462966,0.3968605688270062,0.39747054319832675,0.12291447814372036
ToeSegmentation1,0.6523363727526535,0.4208049527716578,0.43549077985453855,0.047441471753776
ToeSegmentation2,0.6623748052664465,0.3837525729857025,0.3989021273919895,0.014889539567778498
Trace,0.8527979095587701,0.31091306551449555,0.25972021351164476,0.022081223306101627
TwoLeadECG,0.719734238665078,0.4247232269237318,0.45262244235580046,0.06489747983159544
TwoPatterns,0.7527574452796589,0.48256465583474584,0.4824596551412608,0.21312165701010222
UMD,0.8260928488110162,0.2766732100331497,0.22408665029625574,0.014231076432486445
UWaveGestureLibraryAll,0.897409634837655,0.3616261805085622,0.3919176835002768,0.015155933687254541
UWaveGestureLibraryX,0.8940279550888417,0.29775978884161863,0.3167582019084402,0.001196454224123178
UWaveGestureLibraryY,0.8921976968081842,0.2779997377873097,0.293985990646889,0.0004976348955044729
UWaveGestureLibraryZ,0.8388666878522916,0.286352094455686,0.3060339861154925,0.0001986969236528191
Wafer,0.9418173058661581,0.44933496849203286,0.4297411943733657,0.04764670929037307
Wine,0.7523415161930105,0.3978956159481395,0.40200045967145875,0.03157271515102811
WordSynonyms,0.7752168316094261,0.3762109909982836,0.402576546626738,0.0020829134111028935
Worms,0.8749899386162084,0.32024393660264083,0.36413875046614297,8.384653249493557e-05
WormsTwoClass,0.892631210261615,0.3158959206105869,0.35937039971669327,0.00010947971859376349
Yoga,0.5659194520465294,0.28523034028644556,0.31439243275156276,0.00778766011705001
