Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Max_sparsity_PPV,Min_sparsity_PPV,Mean_sparsity_PPV,Median_sparsity_PPV
Trace,0.8941319501076112,0.07245711325780824,0.5341967512045164,0.5254621708259742,0.7837556561085973,0.09144796380090497,0.4609985520361991,0.46203619909502264
TwoLeadECG,0.7406936782834321,0.022355972586946327,0.2848261003692041,0.2888651861053687,0.76,0.02363636363636364,0.46038537549407116,0.47363636363636363
TwoPatterns,0.7853682114618428,0.013000611442987364,0.3360880644876413,0.33939232151699417,0.91,0.010000000000000002,0.46032329038461545,0.46
UMD,0.8450135009234327,0.01375426296608706,0.33229793036009053,0.3139624169995402,0.8575,0.0925,0.460978125,0.46
UWaveGestureLibraryAll,0.9804289411312648,0.09433946426282258,0.44950342252331593,0.432899933707692,0.7423645970937913,0.07182298546895641,0.4549249594557936,0.45702774108322325
UWaveGestureLibraryX,0.9525095817346133,0.025478356631478127,0.370050038959708,0.3720344540740921,0.91,0.010000000000000002,0.45908997520821576,0.4582213438735178
UWaveGestureLibraryY,0.9502315688218449,0.03315828208592253,0.3689804984074385,0.3699384230582576,0.91,0.010000000000000002,0.4570603419678148,0.4582213438735178
UWaveGestureLibraryZ,0.9651606852516054,0.025932726635021774,0.37140303182126855,0.3728042847464896,0.91,0.010000000000000002,0.45654631034726156,0.4582213438735178
Wafer,0.9543003821792501,0.008339679135259348,0.38837919862365794,0.3558049959810771,0.91,0.1059016393442623,0.47354136311475403,0.4673770491803279
Wine,0.8004958848111738,0.14959538732061062,0.5205787689593866,0.5283411259010811,0.6275531914893617,0.22542553191489365,0.45786951287793953,0.46
WordSynonyms,0.8115360914702643,0.016534625906413636,0.40130502299618914,0.4015825903202584,0.785,0.010000000000000002,0.4427716448189762,0.4516666666666667
Worms,0.9658892144876321,3.902508655118098e-06,0.37969756735101734,0.38231694825563345,0.91,0.010000000000000002,0.45978936464088405,0.46
WormsTwoClass,0.9658892144876321,3.902508655118098e-06,0.37969756735101734,0.38231694825563345,0.91,0.010000000000000002,0.45978936464088405,0.46
Yoga,0.7872492674917269,0.02051301658888427,0.34019475654111897,0.34362609120947657,0.6757894736842106,0.19421052631578947,0.4555034473684212,0.4573684210526316
